,C,gamma,RMSE
0,0.01,0.001,0.6126629422718808
1,0.01,0.0064444444444444445,0.6126629422718808
2,0.01,0.01188888888888889,0.6126629422718808
3,0.01,0.017333333333333333,0.6126629422718808
4,0.01,0.02277777777777778,0.6126629422718808
5,0.01,0.028222222222222225,0.6126629422718808
6,0.01,0.033666666666666664,0.6126629422718808
7,0.01,0.03911111111111111,0.6126629422718808
8,0.01,0.04455555555555556,0.6126629422718808
9,0.01,0.05,0.6126629422718808
10,77.78666666666668,0.001,0.7895716945996275
11,77.78666666666668,0.0064444444444444445,0.8156424581005587
12,77.78666666666668,0.01188888888888889,0.8305400372439479
13,77.78666666666668,0.017333333333333333,0.8249534450651769
14,77.78666666666668,0.02277777777777778,0.8286778398510242
15,77.78666666666668,0.028222222222222225,0.819366852886406
16,77.78666666666668,0.033666666666666664,0.819366852886406
17,77.78666666666668,0.03911111111111111,0.819366852886406
18,77.78666666666668,0.04455555555555556,0.8175046554934822
19,77.78666666666668,0.05,0.8212290502793295
20,155.56333333333333,0.001,0.7932960893854748
21,155.56333333333333,0.0064444444444444445,0.8230912476722533
22,155.56333333333333,0.01188888888888889,0.8286778398510242
23,155.56333333333333,0.017333333333333333,0.8286778398510242
24,155.56333333333333,0.02277777777777778,0.8175046554934823
25,155.56333333333333,0.028222222222222225,0.819366852886406
26,155.56333333333333,0.033666666666666664,0.8156424581005587
27,155.56333333333333,0.03911111111111111,0.8175046554934822
28,155.56333333333333,0.04455555555555556,0.8137802607076351
29,155.56333333333333,0.05,0.8026070763500931
30,233.34,0.001,0.7932960893854748
31,233.34,0.0064444444444444445,0.8286778398510242
32,233.34,0.01188888888888889,0.8268156424581005
33,233.34,0.017333333333333333,0.8249534450651769
34,233.34,0.02277777777777778,0.819366852886406
35,233.34,0.028222222222222225,0.8156424581005587
36,233.34,0.033666666666666664,0.8193668528864059
37,233.34,0.03911111111111111,0.8119180633147115
38,233.34,0.04455555555555556,0.8044692737430168
39,233.34,0.05,0.8081936685288641
40,311.1166666666667,0.001,0.7951582867783985
41,311.1166666666667,0.0064444444444444445,0.8286778398510242
42,311.1166666666667,0.01188888888888889,0.8249534450651769
43,311.1166666666667,0.017333333333333333,0.8175046554934823
44,311.1166666666667,0.02277777777777778,0.8156424581005587
45,311.1166666666667,0.028222222222222225,0.8156424581005587
46,311.1166666666667,0.033666666666666664,0.8100558659217878
47,311.1166666666667,0.03911111111111111,0.8044692737430168
48,311.1166666666667,0.04455555555555556,0.8081936685288641
49,311.1166666666667,0.05,0.8100558659217878
50,388.8933333333333,0.001,0.7932960893854748
51,388.8933333333333,0.0064444444444444445,0.8249534450651769
52,388.8933333333333,0.01188888888888889,0.8286778398510242
53,388.8933333333333,0.017333333333333333,0.8156424581005588
54,388.8933333333333,0.02277777777777778,0.8175046554934823
55,388.8933333333333,0.028222222222222225,0.819366852886406
56,388.8933333333333,0.033666666666666664,0.8081936685288641
57,388.8933333333333,0.03911111111111111,0.8063314711359405
58,388.8933333333333,0.04455555555555556,0.8044692737430168
59,388.8933333333333,0.05,0.8100558659217878
60,466.67,0.001,0.7951582867783985
61,466.67,0.0064444444444444445,0.8230912476722532
62,466.67,0.01188888888888889,0.8286778398510242
63,466.67,0.017333333333333333,0.8175046554934823
64,466.67,0.02277777777777778,0.8137802607076351
65,466.67,0.028222222222222225,0.8119180633147115
66,466.67,0.033666666666666664,0.8044692737430168
67,466.67,0.03911111111111111,0.8063314711359405
68,466.67,0.04455555555555556,0.8119180633147115
69,466.67,0.05,0.8081936685288641
70,544.4466666666667,0.001,0.7988826815642458
71,544.4466666666667,0.0064444444444444445,0.8249534450651769
72,544.4466666666667,0.01188888888888889,0.8286778398510242
73,544.4466666666667,0.017333333333333333,0.819366852886406
74,544.4466666666667,0.02277777777777778,0.8137802607076351
75,544.4466666666667,0.028222222222222225,0.8100558659217878
76,544.4466666666667,0.033666666666666664,0.8063314711359405
77,544.4466666666667,0.03911111111111111,0.8044692737430168
78,544.4466666666667,0.04455555555555556,0.8119180633147115
79,544.4466666666667,0.05,0.8044692737430168
80,622.2233333333334,0.001,0.7988826815642458
81,622.2233333333334,0.0064444444444444445,0.8230912476722532
82,622.2233333333334,0.01188888888888889,0.8249534450651769
83,622.2233333333334,0.017333333333333333,0.8156424581005587
84,622.2233333333334,0.02277777777777778,0.8175046554934823
85,622.2233333333334,0.028222222222222225,0.8100558659217878
86,622.2233333333334,0.033666666666666664,0.8044692737430168
87,622.2233333333334,0.03911111111111111,0.8100558659217878
88,622.2233333333334,0.04455555555555556,0.8100558659217878
89,622.2233333333334,0.05,0.8026070763500931
90,700.0,0.001,0.7988826815642458
91,700.0,0.0064444444444444445,0.8230912476722532
92,700.0,0.01188888888888889,0.8230912476722532
93,700.0,0.017333333333333333,0.8175046554934822
94,700.0,0.02277777777777778,0.8175046554934823
95,700.0,0.028222222222222225,0.8081936685288641
96,700.0,0.033666666666666664,0.8063314711359405
97,700.0,0.03911111111111111,0.8100558659217878
98,700.0,0.04455555555555556,0.8081936685288641
99,700.0,0.05,0.8007448789571695
