,random_state,max_depth,RMSE
0,1.0,1.0,0.7895716945996275
1,2.0,1.0,0.7895716945996275
2,3.0,1.0,0.7895716945996275
3,4.0,1.0,0.7895716945996275
4,5.0,1.0,0.7895716945996275
5,6.0,1.0,0.7895716945996275
6,7.0,1.0,0.7895716945996275
7,8.0,1.0,0.7895716945996275
8,9.0,1.0,0.7895716945996275
9,1.0,2.0,0.7802607076350093
10,2.0,2.0,0.7802607076350093
11,3.0,2.0,0.7802607076350093
12,4.0,2.0,0.7802607076350093
13,5.0,2.0,0.7802607076350093
14,6.0,2.0,0.7802607076350093
15,7.0,2.0,0.7802607076350093
16,8.0,2.0,0.7802607076350093
17,9.0,2.0,0.7802607076350093
18,1.0,3.0,0.7914338919925511
19,2.0,3.0,0.7914338919925511
20,3.0,3.0,0.7914338919925511
21,4.0,3.0,0.7914338919925511
22,5.0,3.0,0.7914338919925511
23,6.0,3.0,0.7914338919925511
24,7.0,3.0,0.7914338919925511
25,8.0,3.0,0.7914338919925511
26,9.0,3.0,0.7914338919925511
27,1.0,4.0,0.819366852886406
28,2.0,4.0,0.819366852886406
29,3.0,4.0,0.8175046554934823
30,4.0,4.0,0.819366852886406
31,5.0,4.0,0.819366852886406
32,6.0,4.0,0.819366852886406
33,7.0,4.0,0.819366852886406
34,8.0,4.0,0.819366852886406
35,9.0,4.0,0.819366852886406
36,1.0,5.0,0.8081936685288641
37,2.0,5.0,0.8100558659217878
38,3.0,5.0,0.8063314711359405
39,4.0,5.0,0.8063314711359405
40,5.0,5.0,0.8081936685288641
41,6.0,5.0,0.8081936685288641
42,7.0,5.0,0.8119180633147113
43,8.0,5.0,0.8081936685288641
44,9.0,5.0,0.8119180633147113
45,1.0,6.0,0.8175046554934823
46,2.0,6.0,0.8156424581005587
47,3.0,6.0,0.8175046554934823
48,4.0,6.0,0.8137802607076351
49,5.0,6.0,0.8175046554934823
50,6.0,6.0,0.813780260707635
51,7.0,6.0,0.8156424581005587
52,8.0,6.0,0.8156424581005588
53,9.0,6.0,0.8137802607076351
54,1.0,7.0,0.8119180633147113
55,2.0,7.0,0.8100558659217878
56,3.0,7.0,0.8081936685288641
57,4.0,7.0,0.8081936685288641
58,5.0,7.0,0.8063314711359405
59,6.0,7.0,0.8081936685288641
60,7.0,7.0,0.8119180633147113
61,8.0,7.0,0.8063314711359405
62,9.0,7.0,0.8100558659217878
63,1.0,8.0,0.7877094972067038
64,2.0,8.0,0.7914338919925511
65,3.0,8.0,0.7858472998137801
66,4.0,8.0,0.7877094972067039
67,5.0,8.0,0.7895716945996275
68,6.0,8.0,0.7895716945996275
69,7.0,8.0,0.7895716945996276
70,8.0,8.0,0.7858472998137803
71,9.0,8.0,0.7895716945996276
72,1.0,9.0,0.8026070763500931
73,2.0,9.0,0.7932960893854748
74,3.0,9.0,0.7988826815642458
75,4.0,9.0,0.7988826815642458
76,5.0,9.0,0.8026070763500931
77,6.0,9.0,0.7951582867783985
78,7.0,9.0,0.7970204841713221
79,8.0,9.0,0.7951582867783986
80,9.0,9.0,0.7988826815642458
