,C,gamma,RMSE
0,0.001,1e-06,-0.0023310976674094284
1,0.001,6.30957344480193e-06,-0.0023309187728248006
2,0.001,3.9810717055349695e-05,-0.0023297661262556466
3,0.001,0.0002511886431509582,-0.002322557251701459
4,0.001,0.001584893192461114,-0.0022785643787445555
5,0.001,0.01,-0.0020488355093188173
6,0.06309573444801933,1e-06,-0.002329005193859516
7,0.06309573444801933,6.30957344480193e-06,-0.002317717949934295
8,0.06309573444801933,3.9810717055349695e-05,-0.0022450016221572757
9,0.06309573444801933,0.0002511886431509582,-0.0017895665105103948
10,0.06309573444801933,0.001584893192461114,0.0009748143235414434
11,0.06309573444801933,0.01,0.015044280683469488
12,3.981071705534973,1e-06,-0.0021942607389507187
13,3.981071705534973,6.30957344480193e-06,-0.0014685805675079822
14,3.981071705534973,3.9810717055349695e-05,0.0030687402646726683
15,3.981071705534973,0.0002511886431509582,0.02847463784298243
16,3.981071705534973,0.001584893192461114,0.1256962646162454
17,3.981071705534973,0.01,0.2120823544176185
18,251.18864315095823,1e-06,0.006191767689253558
19,251.18864315095823,6.30957344480193e-06,0.04424411196856215
20,251.18864315095823,3.9810717055349695e-05,0.1601404635913338
21,251.18864315095823,0.0002511886431509582,0.20882313781758613
22,251.18864315095823,0.001584893192461114,0.2136007386635378
23,251.18864315095823,0.01,0.20949405223326642
24,15848.93192461114,1e-06,0.18283051144667298
25,15848.93192461114,6.30957344480193e-06,0.20489402788894076
26,15848.93192461114,3.9810717055349695e-05,0.19423057445957514
27,15848.93192461114,0.0002511886431509582,0.2167559042463694
28,15848.93192461114,0.001584893192461114,0.19851690548805204
29,15848.93192461114,0.01,-0.026479324359359402
30,1000000.0,1e-06,0.19211302419717566
31,1000000.0,6.30957344480193e-06,0.19385862414685573
32,1000000.0,3.9810717055349695e-05,0.22843904527937284
33,1000000.0,0.0002511886431509582,0.19016318158429146
34,1000000.0,0.001584893192461114,-0.008884292776509817
35,1000000.0,0.01,-2.9925086740047604
