,C,gamma,RMSE
0,0.001,1e-06,-0.0023310971607322095
1,0.001,6.30957344480193e-06,-0.0023309155915206916
2,0.001,3.9810717055349695e-05,-0.0023297712371036874
3,0.001,0.0002511886431509582,-0.0023226008822004505
4,0.001,0.001584893192461114,-0.0022792684413405206
5,0.001,0.01,-0.002066255030228318
6,0.06309573444801933,1e-06,-0.0023289732262448126
7,0.06309573444801933,6.30957344480193e-06,-0.002317517285437646
8,0.06309573444801933,3.9810717055349695e-05,-0.00224532539562187
9,0.06309573444801933,0.0002511886431509582,-0.001794260881342787
10,0.06309573444801933,0.001584893192461114,0.0009181419822877531
11,0.06309573444801933,0.01,0.01379297191293601
12,3.981071705534973,1e-06,-0.00219521667516831
13,3.981071705534973,6.30957344480193e-06,-0.0014747832090159507
14,3.981071705534973,3.9810717055349695e-05,0.003025071653203352
15,3.981071705534973,0.0002511886431509582,0.027657500533468937
16,3.981071705534973,0.001584893192461114,0.12069708521421992
17,3.981071705534973,0.01,0.20625125950571768
18,251.18864315095823,1e-06,0.00612131866727809
19,251.18864315095823,6.30957344480193e-06,0.043159331527041246
20,251.18864315095823,3.9810717055349695e-05,0.15619177369228568
21,251.18864315095823,0.0002511886431509582,0.20825820908307122
22,251.18864315095823,0.001584893192461114,0.22337785515107098
23,251.18864315095823,0.01,0.21044171279501203
24,15848.93192461114,1e-06,0.17860598622388923
25,15848.93192461114,6.30957344480193e-06,0.2092197909508274
26,15848.93192461114,3.9810717055349695e-05,0.2007747476068146
27,15848.93192461114,0.0002511886431509582,0.2246516497574673
28,15848.93192461114,0.001584893192461114,0.1612990009505814
29,15848.93192461114,0.01,-0.14617121781882011
30,1000000.0,1e-06,0.20271061705560522
31,1000000.0,6.30957344480193e-06,0.19949273742728704
32,1000000.0,3.9810717055349695e-05,0.2315462565101674
33,1000000.0,0.0002511886431509582,0.07827539062023998
34,1000000.0,0.001584893192461114,-0.33022076204100154
35,1000000.0,0.01,-5.119760784582338
